"record","t","f1","f2","intensity","vowel"
"27361","1.0492499999999998","542.2490180647587","1492.2435896401666","80.18927764464829","e"
"27361","1.0554999999999999","546.1862135935502","1478.780377184993","80.28587101391393","e"
"27361","1.06175","537.8977989760859","1555.8372458405365","80.20080044617131","e"
"27361","1.068","531.2421049721727","1657.2767562610322","80.09728163427249","e"
"27361","1.0742499999999997","530.8391504760285","1673.2097625540923","79.93680289444065","e"
"27361","1.0804999999999998","524.6982634133608","1709.5995312501032","79.70437341492801","e"
"27361","1.0867499999999999","515.0837677859859","1736.62383748067","79.65342286426025","e"
"27361","1.093","503.58930930158255","1753.7269191596818","79.9635888314674","e"
"27361","1.09925","495.64019536423115","1794.0476300929447","80.23931829471566","e"
"27361","1.1054999999999997","496.6941800738632","1800.3376642984426","80.42220530544544","e"
